"age","credithistory","creditstatus","customerid","id","paymenthistory","callreason","customervalue","frequentcaller","customername","gender","income","clvsegment","zipcode","circleid","startingmember"
52,"Paid on time","Clear","CE-603",NA,"Same month",NA,NA,"No","Tyler Richardson","m",56600,NA,26906,"CI-1","No"
55,"Repaid on time","Clear","CE-604",NA,"Same week",NA,NA,"Yes","Alexander Woods","m",55080,NA,22466,"CI-1","No"
47,"Paid on time","Clear","CE-607",NA,"Same week",NA,NA,"No","Aaron Belmont","m",54683,NA,34657,"CI-1","No"
50,"Paid on time","Due payment","CE-609",NA,"Same day",NA,NA,"Yes","Trevor Storrs","m",70950,NA,17135,"CI-1","No"
57,"Past arrears","Clear","CE-610",NA,"Same week",NA,NA,"Yes","Spenser Singletary","m",72948,NA,28492,"CI-1","No"
33,"Past arrears","Clear","CE-615",NA,"Same week",NA,NA,"No","Cory Zuspan","m",38825,NA,34117,"CI-1","No"
48,"Repaid on time","Clear","CE-616",NA,"Same week",NA,NA,"Yes","Troy Snyder","m",52889,NA,32714,"CI-1","No"
40,"Repaid on time","Due payment","CE-617",NA,"Same month",NA,NA,"No","Preston Markano","m",44340,NA,13548,"CI-1","No"
40,"Paid on time","Clear","CE-618",NA,"Same week",NA,NA,"Yes","Sawyer Bennett","m",58355,NA,35500,"CI-1","No"
51,"Repaid on time","Clear","CE-621",NA,"Same day",NA,NA,"Yes","Winsome Kocman","f",67200,NA,12449,"CI-1","No"
61,"Repaid on time","Clear","CE-625",NA,"Same week",NA,NA,"No","Eric Rounsville","m",82147,NA,30770,"CI-1","No"
58,"Paid on time","Clear","CE-629",NA,"Same month",NA,NA,"Yes","Anna Shaffer","f",81223,NA,33226,"CI-1","No"
36,"Past arrears","Clear","CE-631",NA,"Same week",NA,NA,"Yes","Amelia Kuhns","f",32550,NA,11127,"CI-1","No"
58,"Repaid on time","Clear","CE-634",NA,"Same day",NA,NA,"Yes","Frankie Gantvoort","f",40814,NA,21561,"CI-1","No"
19,"Repaid on time","Clear","CE-636",NA,"Same week",NA,NA,"Yes","Aarika Collins","f",23692,NA,30332,"CI-1","No"
58,"Paid on time","Clear","CE-638",NA,"Same week",NA,NA,"Yes","Alexandra Herzl","f",79823,NA,25045,"CI-1","No"
56,"Repaid on time","Due payment","CE-640",NA,"Same day",NA,NA,"Yes","Christopher Moore","m",72027,NA,41658,"CI-1","No"
19,"Repaid on time","Clear","CE-645",NA,"Same week",NA,NA,"Yes","Brooke Chaffin","f",18978,NA,34843,"CI-1","No"
54,"Repaid on time","Clear","CE-647",NA,"Same month",NA,NA,"Yes","Taylor Leggett","f",62465,NA,32556,"CI-1","No"
48,"Past arrears","Clear","CE-651",NA,"Same month",NA,NA,"Yes","Jenna Surges","f",65578,NA,17079,"CI-1","No"
64,"Past arrears","Due payment","CE-652",NA,"Same week",NA,NA,"Yes","Claire Smock","f",86615,NA,11288,"CI-1","No"
61,"Repaid on time","Clear","CE-654",NA,"Same week",NA,NA,"No","Breahna Fuller","f",51908,NA,36109,"CI-1","No"
36,"Paid on time","Clear","CE-658",NA,"Same day",NA,NA,"Yes","Courtney Wood","f",46969,NA,11387,"CI-1","No"
61,"Past arrears","Due payment","CE-659",NA,"Same month",NA,NA,"Yes","Drake Othman","m",85147,NA,34091,"CI-1","No"
62,"Repaid on time","Clear","CE-661",NA,"Same day",NA,NA,"Yes","Michaela Desmond","f",82075,NA,37196,"CI-1","No"
55,"Past arrears","Clear","CE-669",NA,"Same day",NA,NA,"No","Paige Young","f",55677,NA,20807,"CI-1","No"
21,"Past arrears","Clear","CE-675",NA,"Same day",NA,NA,"Yes","Tanner Lindauer","m",34648,NA,15494,"CI-1","No"
35,"Paid on time","Due payment","CE-677",NA,"Same month",NA,NA,"Yes","Megan Kumar","f",50808,NA,30378,"CI-1","No"
60,"Repaid on time","Clear","CE-679",NA,"Same week",NA,NA,"No","Derrik Ewald","m",74193,NA,11332,"CI-1","No"
18,"Past arrears","Due payment","CE-681",NA,"Same week",NA,NA,"No","Tara Mitchell","f",19229,NA,37004,"CI-1","No"
29,"Paid on time","Clear","CE-685",NA,"Same month",NA,NA,"No","Jonathan Criner","m",38586,NA,27799,"CI-1","No"
49,"Repaid on time","Due payment","CE-686",NA,"Same month",NA,NA,"No","Eada Farmer","f",64900,NA,13663,"CI-1","No"
27,"Paid on time","Due payment","CE-687",NA,"Same week",NA,NA,"No","James Cooper","m",27083,NA,21887,"CI-1","No"
58,"Past arrears","Clear","CE-689",NA,"Same week",NA,NA,"Yes","Lauren Diviness","f",74348,NA,33598,"CI-1","No"
33,"Repaid on time","Clear","CE-695",NA,"Same month",NA,NA,"Yes","Sarah Caron","f",43077,NA,26281,"CI-1","No"
59,"Paid on time","Clear","CE-696",NA,"Same week",NA,NA,"Yes","Clayton Hamrick","m",82291,NA,15758,"CI-1","No"
62,"Repaid on time","Clear","CE-697",NA,"Same week",NA,NA,"Yes","Bobbie Ours","f",74816,NA,20705,"CI-1","No"
41,"Past arrears","Clear","CE-698",NA,"Same week",NA,NA,"Yes","Anthony Kresin","m",63301,NA,31622,"CI-1","No"
24,"Paid on time","Due payment","CE-699",NA,"Same week",NA,NA,"Yes","Cayleen Grech","f",25451,NA,32270,"CI-1","No"
56,"Repaid on time","Clear","CE-701",NA,"Same day",NA,NA,"No","Tyler Schielke","m",76888,NA,24023,"CI-1","No"
38,"Past arrears","Due payment","CE-704",NA,"Same week",NA,NA,"Yes","Paul Stark","m",38183,NA,28191,"CI-1","No"
41,"Repaid on time","Due payment","CE-705",NA,"Same month",NA,NA,"Yes","Mariah Kennedy","f",48628,NA,33998,"CI-1","No"
45,"Past arrears","Clear","CE-707",NA,"Same month",NA,NA,"Yes","Kelli Elzinga","f",41071,NA,25347,"CI-1","No"
64,"Paid on time","Clear","CE-712",NA,"Same day",NA,NA,"No","Julie Otto","f",73459,NA,23769,"CI-1","No"
57,"Paid on time","Clear","CE-713",NA,"Same week",NA,NA,"Yes","Olivia Jennings","f",53844,NA,20100,"CI-1","No"
57,"Paid on time","Clear","CE-714",NA,"Same week",NA,NA,"Yes","Robert Mcintire","m",65495,NA,21472,"CI-1","No"
58,"Repaid on time","Clear","CE-716",NA,"Same week",NA,NA,"Yes","Bailey Jurica","f",73995,NA,29167,"CI-1","No"
47,"Repaid on time","Due payment","CE-717",NA,"Same week",NA,NA,"Yes","Andrew Brown","m",40072,NA,14507,"CI-1","No"
37,"Past arrears","Clear","CE-720",NA,"Same week",NA,NA,"No","Jeremy Keever","m",60006,NA,34883,"CI-1","No"
64,"Paid on time","Clear","CE-724",NA,"Same month",NA,NA,"No","Rory Lehman","m",100627,NA,32866,"CI-1","No"
44,"Paid on time","Clear","CE-725",NA,"Same week",NA,NA,"Yes","Austin Weikal","m",53970,NA,18608,"CI-1","No"
59,"Paid on time","Due payment","CE-726",NA,"Same month",NA,NA,"Yes","Corinne Rees","f",67646,NA,18935,"CI-1","No"
52,"Repaid on time","Clear","CE-727",NA,"Same week",NA,NA,"Yes","Connor Rhoades","m",66673,NA,40943,"CI-1","No"
50,"Repaid on time","Due payment","CE-730",NA,"Same month",NA,NA,"No","Madeline Limiac","f",49787,NA,31371,"CI-1","No"
26,"Past arrears","Clear","CE-736",NA,"Same month",NA,NA,"No","Alina Heide","f",28721,NA,14543,"CI-1","No"
25,"Paid on time","Clear","CE-738",NA,"Same day",NA,NA,"Yes","Juston Geist","m",28816,NA,14482,"CI-1","No"
33,"Paid on time","Due payment","CE-739",NA,"Same day",NA,NA,"No","Austin Fritch","m",35636,NA,17467,"CI-1","No"
46,"Past arrears","Due payment","CE-745",NA,"Same week",NA,NA,"Yes","Brett Halderman","m",56004,NA,24736,"CI-1","No"
25,"Repaid on time","Clear","CE-747",NA,"Same day",NA,NA,"Yes","Jacob Pelichowski","m",30648,NA,31981,"CI-1","No"
23,"Past arrears","Clear","CE-748",NA,"Same month",NA,NA,"Yes","Cassandra Wilson","f",29114,NA,21864,"CI-1","No"
63,"Repaid on time","Clear","CE-750",NA,"Same week",NA,NA,"No","Jocelyn Ludens","f",79165,NA,12302,"CI-1","No"
29,"Paid on time","Due payment","CE-751",NA,"Same week",NA,NA,"Yes","Allison Johnsen","f",29880,NA,24285,"CI-1","No"
18,"Past arrears","Due payment","CE-754",NA,"Same day",NA,NA,"Yes","Raegan Strope","f",22798,NA,17068,"CI-1","No"
21,"Past arrears","Due payment","CE-760",NA,"Same day",NA,NA,"Yes","Erik Lacy","m",30543,NA,39505,"CI-1","No"
36,"Paid on time","Clear","CE-762",NA,"Same week",NA,NA,"No","Katie Goldberg","f",38205,NA,10331,"CI-1","No"
49,"Paid on time","Clear","CE-764",NA,"Same month",NA,NA,"No","Colton Rushton","m",67520,NA,26388,"CI-1","No"
26,"Paid on time","Clear","CE-765",NA,"Same month",NA,NA,"Yes","Kody Hesser","m",25595,NA,40895,"CI-1","No"
36,"Past arrears","Clear","CE-771",NA,"Same week",NA,NA,"Yes","Rose Dittbrenner","f",43143,NA,21204,"CI-1","No"
24,"Past arrears","Clear","CE-775",NA,"Same month",NA,NA,"Yes","Steven Hillman","m",26336,NA,26773,"CI-1","No"
62,"Paid on time","Clear","CE-776",NA,"Same day",NA,NA,"No","Scott Wells","m",64052,NA,32579,"CI-1","No"
64,"Past arrears","Due payment","CE-777",NA,"Same day",NA,NA,"Yes","Alexander Wederath","m",67275,NA,23624,"CI-1","No"
38,"Paid on time","Due payment","CE-787",NA,"Same week",NA,NA,"No","Sarah Thorson","f",48428,NA,33069,"CI-1","No"
31,"Repaid on time","Clear","CE-792",NA,"Same week",NA,NA,"Yes","Joseph Dooley","m",28554,NA,25083,"CI-1","No"
48,"Repaid on time","Due payment","CE-796",NA,"Same week",NA,NA,"No","Georgia Schneider","f",60691,NA,32559,"CI-1","No"
49,"Past arrears","Clear","CE-797",NA,"Same month",NA,NA,"Yes","Brandon Glenn","m",44583,NA,35394,"CI-1","No"
39,"Past arrears","Clear","CE-798",NA,"Same week",NA,NA,"Yes","Tevin Hinkle","m",39683,NA,30279,"CI-1","No"
36,"Past arrears","Due payment","CE-807",NA,"Same week",NA,NA,"No","Krista Rotante","f",45515,NA,21662,"CI-1","No"
48,"Paid on time","Clear","CE-810",NA,"Same month",NA,NA,"Yes","Rachael Christensen","f",63699,NA,19701,"CI-1","No"
21,"Paid on time","Due payment","CE-812",NA,"Same month",NA,NA,"Yes","Andrew Yarbrough","m",23369,NA,27670,"CI-1","No"
37,"Paid on time","Clear","CE-814",NA,"Same week",NA,NA,"Yes","Avery Cloutier","f",31752,NA,29093,"CI-1","No"
36,"Repaid on time","Clear","CE-816",NA,"Same week",NA,NA,"No","Molly Walden","f",55104,NA,24073,"CI-1","No"
64,"Past arrears","Due payment","CE-817",NA,"Same day",NA,NA,"Yes","Kelsey Whaley","f",74807,NA,35026,"CI-1","No"
53,"Paid on time","Clear","CE-820",NA,"Same month",NA,NA,"Yes","Tiana Oreskey","f",53797,NA,18034,"CI-1","No"
47,"Past arrears","Due payment","CE-821",NA,"Same day",NA,NA,"No","Ethan Acker","m",64994,NA,35482,"CI-1","No"
31,"Past arrears","Clear","CE-824",NA,"Same week",NA,NA,"Yes","Blaine Maddox","m",35973,NA,26775,"CI-1","No"
38,"Past arrears","Clear","CE-825",NA,"Same month",NA,NA,"Yes","Macenzee Holt","f",40514,NA,39307,"CI-1","No"
33,"Past arrears","Clear","CE-826",NA,"Same month",NA,NA,"Yes","Sarah Hammer","f",30760,NA,25292,"CI-1","No"
59,"Paid on time","Due payment","CE-827",NA,"Same week",NA,NA,"Yes","Landon Vaught","m",90868,NA,30559,"CI-1","No"
23,"Paid on time","Clear","CE-830",NA,"Same month",NA,NA,"Yes","Valeska Kelly","f",18689,NA,27456,"CI-1","No"
55,"Paid on time","Clear","CE-833",NA,"Same day",NA,NA,"No","Adam Kachel","m",77665,NA,19224,"CI-1","No"
46,"Paid on time","Clear","CE-835",NA,"Same day",NA,NA,"No","Megan Berisa","f",54541,NA,25526,"CI-1","No"
24,"Paid on time","Clear","CE-840",NA,"Same week",NA,NA,"Yes","Patricia Gerdin","f",29386,NA,26363,"CI-1","No"
37,"Paid on time","Clear","CE-842",NA,"Same week",NA,NA,"Yes","Dennis Kurzinger","m",60026,NA,35178,"CI-1","No"
31,"Repaid on time","Clear","CE-847",NA,"Same month",NA,NA,"No","Gabrielle Reetz","f",35791,NA,27233,"CI-1","No"
53,"Repaid on time","Clear","CE-849",NA,"Same month",NA,NA,"No","Abigail Seving","f",44751,NA,28204,"CI-1","No"
51,"Past arrears","Due payment","CE-850",NA,"Same week",NA,NA,"Yes","Abigail Brickley","f",43253,NA,24131,"CI-1","No"
39,"Past arrears","Due payment","CE-851",NA,"Same week",NA,NA,"Yes","Chad Read","m",37050,NA,17005,"CI-1","No"
49,"Past arrears","Due payment","CE-856",NA,"Same day",NA,NA,"Yes","Selina Barker","f",52277,NA,13438,"CI-1","No"
20,"Paid on time","Due payment","CE-857",NA,"Same week",NA,NA,"Yes","Allison Norris","f",21017,NA,28850,"CI-1","No"
43,"Past arrears","Due payment","CE-858",NA,"Same week",NA,NA,"Yes","Christopher Graff","m",39324,NA,18384,"CI-1","No"
44,"Past arrears","Due payment","CE-866",NA,"Same day",NA,NA,"No","Emily Ruell","f",52211,NA,35118,"CI-1","No"
50,"Past arrears","Due payment","CE-868",NA,"Same week",NA,NA,"Yes","Alec Moranetz","m",68907,NA,22455,"CI-1","No"
41,"Repaid on time","Due payment","CE-871",NA,"Same week",NA,NA,"No","John Woznicki","m",61011,NA,33298,"CI-1","No"
48,"Paid on time","Clear","CE-875",NA,"Same week",NA,NA,"No","Adrien Wilkins","m",36979,NA,31249,"CI-1","No"
39,"Repaid on time","Clear","CE-877",NA,"Same week",NA,NA,"Yes","Tara Groves","f",51859,NA,30166,"CI-1","No"
50,"Repaid on time","Clear","CE-879",NA,"Same week",NA,NA,"No","Andrew Stormer","m",62615,NA,41337,"CI-1","No"
40,"Paid on time","Due payment","CE-882",NA,"Same week",NA,NA,"No","Codie Markey","f",39439,NA,29595,"CI-1","No"
26,"Past arrears","Clear","CE-883",NA,"Same month",NA,NA,"Yes","Austin Graziosa","m",28140,NA,23440,"CI-1","No"
62,"Paid on time","Due payment","CE-884",NA,"Same month",NA,NA,"Yes","Taylor Garcia","f",71925,NA,18914,"CI-1","No"
26,"Past arrears","Clear","CE-886",NA,"Same month",NA,NA,"Yes","Stefani Makowski","f",36830,NA,21587,"CI-1","No"
33,"Repaid on time","Due payment","CE-887",NA,"Same month",NA,NA,"Yes","Dusty Hill","f",44132,NA,27830,"CI-1","No"
19,"Paid on time","Clear","CE-888",NA,"Same month",NA,NA,"Yes","Zachary Robison","m",22006,NA,10248,"CI-1","No"
51,"Repaid on time","Clear","CE-894",NA,"Same week",NA,NA,"Yes","Michael Baldwin","m",58157,NA,25108,"CI-1","No"
56,"Repaid on time","Due payment","CE-900",NA,"Same month",NA,NA,"No","Alyssia Bailey","f",66015,NA,24178,"CI-1","No"
26,"Repaid on time","Clear","CE-917",NA,"Same week",NA,NA,"Yes","Johnson Chapman","m",30352,NA,18691,"CI-1","No"
62,"Paid on time","Clear","CE-918",NA,"Same month",NA,NA,"Yes","Jacob Mcgargill","m",64918,NA,36746,"CI-1","No"
19,"Past arrears","Clear","CE-924",NA,"Same month",NA,NA,"Yes","Nicolle Phillips","f",24684,NA,31191,"CI-1","No"
27,"Repaid on time","Clear","CE-927",NA,"Same week",NA,NA,"No","Taylor Dehart","m",29471,NA,14885,"CI-1","No"
33,"Paid on time","Clear","CE-928",NA,"Same day",NA,NA,"No","Sabrina Migliorini","f",34036,NA,39453,"CI-1","No"
51,"Paid on time","Clear","CE-930",NA,"Same month",NA,NA,"Yes","Michael Sutton","m",70363,NA,18285,"CI-1","No"
19,"Past arrears","Due payment","CE-931",NA,"Same week",NA,NA,"Yes","Grace Grilley","f",18942,NA,34841,"CI-1","No"
44,"Repaid on time","Clear","CE-932",NA,"Same day",NA,NA,"No","John Maiolo","m",44547,NA,15656,"CI-1","No"
28,"Repaid on time","Clear","CE-938",NA,"Same day",NA,NA,"Yes","Audra Hardy","f",38387,NA,17188,"CI-1","No"
33,"Past arrears","Clear","CE-939",NA,"Same month",NA,NA,"No","William Yingling","m",44505,NA,35397,"CI-1","No"
47,"Paid on time","Due payment","CE-948",NA,"Same week",NA,NA,"Yes","Cameron Knott","m",45556,NA,16615,"CI-1","No"
50,"Past arrears","Due payment","CE-951",NA,"Same week",NA,NA,"No","Madison Thurber","f",57215,NA,19503,"CI-1","No"
45,"Paid on time","Clear","CE-952",NA,"Same week",NA,NA,"No","Darik Lynch","m",50791,NA,33307,"CI-1","No"
24,"Paid on time","Due payment","CE-953",NA,"Same week",NA,NA,"Yes","Travis Hill","m",25999,NA,32024,"CI-1","No"
26,"Repaid on time","Due payment","CE-957",NA,"Same week",NA,NA,"Yes","Zachary Jeffers","m",23095,NA,15943,"CI-1","No"
45,"Paid on time","Clear","CE-962",NA,"Same week",NA,NA,"No","Keenan Kreiman","m",50020,NA,33882,"CI-1","No"
30,"Paid on time","Clear","CE-964",NA,"Same week",NA,NA,"No","Ashley Adame","f",32131,NA,18219,"CI-1","No"
58,"Paid on time","Clear","CE-965",NA,"Same week",NA,NA,"No","Austin Jones","m",48953,NA,19577,"CI-1","No"
25,"Past arrears","Due payment","CE-970",NA,"Same week",NA,NA,"No","Jacob Brown","m",35341,NA,36373,"CI-1","No"
64,"Paid on time","Due payment","CE-973",NA,"Same month",NA,NA,"No","Katelyn Mayne","f",68018,NA,35054,"CI-1","No"
61,"Past arrears","Due payment","CE-974",NA,"Same month",NA,NA,"Yes","Payton Russo","m",68116,NA,32139,"CI-1","No"
63,"Paid on time","Clear","CE-978",NA,"Same month",NA,NA,"Yes","Kelli Willis","f",83023,NA,14367,"CI-1","No"
34,"Repaid on time","Clear","CE-981",NA,"Same month",NA,NA,"No","Caley Woolley","f",27915,NA,29190,"CI-1","No"
61,"Past arrears","Clear","CE-990",NA,"Same month",NA,NA,"No","Kelsey Joslyn","f",54020,NA,18204,"CI-1","No"
25,"Past arrears","Clear","CE-991",NA,"Same day",NA,NA,"Yes","Roman Janak","m",28772,NA,41757,"CI-1","No"
57,"Paid on time","Due payment","CE-994",NA,"Same month",NA,NA,"No","Brittany Kordziel","f",77595,NA,37929,"CI-1","No"
23,"Past arrears","Due payment","CE-1000",NA,"Same week",NA,NA,"Yes","Molly Rutt","f",25413,NA,29017,"CI-1","No"
35,"Paid on time","Due payment","CE-46",NA,"Same week",NA,NA,"Yes","Sahara Garcia","f",40962,NA,43134,"CI-2","No"
57,"Paid on time","Clear","CE-177",NA,"Same month",NA,NA,"No","Rachel Miller","f",73713,NA,42717,"CI-2","No"
33,"Past arrears","Clear","CE-200",NA,"Same day",NA,NA,"No","Laura Kercher","f",61481,NA,44045,"CI-2","No"
63,"Paid on time","Clear","CE-223",NA,"Same day",NA,NA,"Yes","Joshua Caddell","m",90459,NA,43294,"CI-2","No"
36,"Repaid on time","Due payment","CE-247",NA,"Same month",NA,NA,"Yes","Rheanna Wilhelm","f",43683,NA,44307,"CI-2","No"
47,"Past arrears","Clear","CE-263",NA,"Same day",NA,NA,"Yes","Alexa Brenner","f",51090,NA,43112,"CI-2","No"
40,"Repaid on time","Clear","CE-311",NA,"Same day",NA,NA,"No","Morgan Protz","f",43991,NA,42339,"CI-2","No"
48,"Paid on time","Clear","CE-351",NA,"Same month",NA,NA,"No","Brenna Cassaday","f",53959,NA,44319,"CI-2","No"
25,"Past arrears","Clear","CE-391",NA,"Same week",NA,NA,"Yes","Gabriel White","m",30188,NA,44326,"CI-2","No"
31,"Past arrears","Clear","CE-406",NA,"Same day",NA,NA,"Yes","Alexandra Theod Isenbart","f",34458,NA,43691,"CI-2","No"
59,"Past arrears","Due payment","CE-415",NA,"Same month",NA,NA,"Yes","Dakota Hathaway","m",63399,NA,43891,"CI-2","No"
25,"Repaid on time","Clear","CE-418",NA,"Same month",NA,NA,"No","Courtnee Baines","f",37029,NA,42832,"CI-2","No"
22,"Paid on time","Clear","CE-496",NA,"Same month",NA,NA,"Yes","Hannah Eberle","f",29758,NA,43836,"CI-2","No"
22,"Past arrears","Due payment","CE-498",NA,"Same day",NA,NA,"Yes","Mathew Mild","m",34110,NA,42555,"CI-2","No"
27,"Paid on time","Due payment","CE-531",NA,"Same week",NA,NA,"Yes","Andre Boeck","m",24359,NA,44500,"CI-2","No"
62,"Paid on time","Clear","CE-548",NA,"Same week",NA,NA,"Yes","Cyanne Denny","f",70906,NA,43734,"CI-2","No"
62,"Repaid on time","Due payment","CE-606",NA,"Same week",NA,NA,"No","Andrew Clark","m",69083,NA,42016,"CI-2","No"
36,"Repaid on time","Clear","CE-608",NA,"Same month",NA,NA,"No","Sabrina Jutras","f",45362,NA,42843,"CI-2","No"
45,"Past arrears","Clear","CE-623",NA,"Same day",NA,NA,"Yes","Taylor Gradoz","m",50540,NA,43035,"CI-2","No"
52,"Paid on time","Due payment","CE-718",NA,"Same day",NA,NA,"Yes","Jessica Snavely","f",61238,NA,42756,"CI-2","No"
43,"Past arrears","Due payment","CE-763",NA,"Same day",NA,NA,"Yes","Gwendolyn Fulford","f",39304,NA,43916,"CI-2","Yes"
31,"Paid on time","Due payment","CE-781",NA,"Same day",NA,NA,"No","Justin Oakes","m",49488,NA,43797,"CI-2","No"
58,"Past arrears","Clear","CE-799",NA,"Same week",NA,NA,"Yes","Mariah Richardson","f",80445,NA,43108,"CI-2","No"
20,"Repaid on time","Due payment","CE-804",NA,"Same week",NA,NA,"Yes","Kylie Herron","f",23610,NA,43528,"CI-2","No"
39,"Past arrears","Clear","CE-845",NA,"Same week",NA,NA,"Yes","Carl Seiler","m",51408,NA,44562,"CI-2","No"
21,"Past arrears","Clear","CE-872",NA,"Same week",NA,NA,"Yes","Sarah Allen","f",23056,NA,42254,"CI-2","No"
30,"Paid on time","Due payment","CE-899",NA,"Same week",NA,NA,"No","Janae Whitaker","f",43986,NA,44162,"CI-2","No"
41,"Past arrears","Clear","CE-911",NA,"Same day",NA,NA,"Yes","Dalton Neal","m",59665,NA,42937,"CI-2","No"
20,"Paid on time","Clear","CE-923",NA,"Same week",NA,NA,"No","Derek Hodges","m",24297,NA,43200,"CI-2","No"
45,"Past arrears","Clear","CE-937",NA,"Same month",NA,NA,"No","Austin Motsinger","m",44568,NA,43284,"CI-2","No"
27,"Past arrears","Due payment","CE-1",NA,"Same day",NA,NA,"Yes","Lindsay Mattice","f",35853,NA,44860,"CI-3","No"
46,"Paid on time","Clear","CE-16",NA,"Same week",NA,NA,"Yes","Joey Hull","f",56851,NA,45639,"CI-3","No"
64,"Past arrears","Clear","CE-17",NA,"Same day",NA,NA,"No","Kevin Pace","m",74978,NA,54913,"CI-3","No"
27,"Repaid on time","Clear","CE-20",NA,"Same month",NA,NA,"No","Eric Broad","m",38588,NA,54978,"CI-3","No"
39,"Repaid on time","Clear","CE-23",NA,"Same week",NA,NA,"Yes","Jason Denton","m",30747,NA,50669,"CI-3","No"
31,"Repaid on time","Due payment","CE-24",NA,"Same week",NA,NA,"Yes","Shaefer Olbright","m",38136,NA,55913,"CI-3","No"
30,"Paid on time","Clear","CE-34",NA,"Same day",NA,NA,"Yes","Jake Myers","m",36521,NA,51703,"CI-3","No"
26,"Past arrears","Clear","CE-38",NA,"Same month",NA,NA,"No","Jacob Loucks","m",35660,NA,50801,"CI-3","No"
51,"Paid on time","Clear","CE-40",NA,"Same day",NA,NA,"Yes","Ryan Hart","m",51818,NA,52915,"CI-3","No"
39,"Past arrears","Clear","CE-56",NA,"Same month",NA,NA,"No","Sonora Kreitman","f",49101,NA,48288,"CI-3","No"
53,"Past arrears","Clear","CE-58",NA,"Same day",NA,NA,"Yes","Kiara Vance","f",49404,NA,47497,"CI-3","No"
59,"Paid on time","Due payment","CE-66",NA,"Same week",NA,NA,"Yes","Whitney Swenson","f",35118,NA,47612,"CI-3","No"
55,"Past arrears","Due payment","CE-69",NA,"Same day",NA,NA,"No","Paul Therianos","m",73532,NA,49715,"CI-3","No"
54,"Paid on time","Due payment","CE-76",NA,"Same month",NA,NA,"No","Mark Washington","m",65254,NA,47501,"CI-3","No"
51,"Past arrears","Clear","CE-86",NA,"Same month",NA,NA,"Yes","Sloan Mathis","f",76210,NA,49960,"CI-3","No"
45,"Paid on time","Clear","CE-87",NA,"Same week",NA,NA,"No","Daniel Carpenter","m",66165,NA,52448,"CI-3","No"
27,"Paid on time","Clear","CE-90",NA,"Same month",NA,NA,"Yes","Karl Gearing","m",25340,NA,50548,"CI-3","No"
25,"Repaid on time","Due payment","CE-93",NA,"Same month",NA,NA,"Yes","Brianna Watkins","f",23287,NA,49326,"CI-3","No"
59,"Repaid on time","Clear","CE-108",NA,"Same month",NA,NA,"Yes","Kevin Brown","m",68747,NA,53539,"CI-3","No"
34,"Paid on time","Due payment","CE-113",NA,"Same month",NA,NA,"Yes","Tristan Samuelson","m",46809,NA,51971,"CI-3","No"
52,"Past arrears","Clear","CE-114",NA,"Same month",NA,NA,"No","Sara Olinger","f",55746,NA,45747,"CI-3","No"
57,"Past arrears","Clear","CE-121",NA,"Same week",NA,NA,"Yes","Ian Hudmon","m",58323,NA,52785,"CI-3","No"
21,"Repaid on time","Due payment","CE-139",NA,"Same day",NA,NA,"Yes","Shannon Daniels","f",22645,NA,48815,"CI-3","No"
30,"Paid on time","Clear","CE-141",NA,"Same day",NA,NA,"Yes","Shane Baldini","m",42607,NA,47460,"CI-3","No"
48,"Repaid on time","Due payment","CE-149",NA,"Same day",NA,NA,"Yes","Cameron Sobhi","m",59190,NA,55179,"CI-3","No"
48,"Repaid on time","Clear","CE-150",NA,"Same week",NA,NA,"Yes","Jason Marler","m",45736,NA,49018,"CI-3","No"
63,"Paid on time","Clear","CE-156",NA,"Same day",NA,NA,"No","Jesse Benson","m",80902,NA,46796,"CI-3","No"
50,"Paid on time","Clear","CE-159",NA,"Same week",NA,NA,"No","Jasmine Gatzemeyer","f",62408,NA,51496,"CI-3","No"
56,"Past arrears","Clear","CE-165",NA,"Same week",NA,NA,"Yes","Gerrit Smith","m",48632,NA,55435,"CI-3","No"
63,"Past arrears","Clear","CE-174",NA,"Same week",NA,NA,"No","Dylan Hoffman","m",93990,NA,53014,"CI-3","No"
64,"Repaid on time","Clear","CE-181",NA,"Same week",NA,NA,"No","Emily Calvert","f",70879,NA,54311,"CI-3","No"
49,"Past arrears","Clear","CE-184",NA,"Same day",NA,NA,"No","Anthony Gordon","m",55281,NA,56219,"CI-3","No"
54,"Repaid on time","Clear","CE-190",NA,"Same week",NA,NA,"Yes","Janine Meehan","f",58195,NA,55900,"CI-3","No"
18,"Paid on time","Clear","CE-196",NA,"Same week",NA,NA,"Yes","Marissa Platt","f",17778,NA,49823,"CI-3","No"
52,"Repaid on time","Clear","CE-210",NA,"Same week",NA,NA,"No","Kellsey Schmaus","f",54610,NA,48544,"CI-3","No"
35,"Past arrears","Clear","CE-213",NA,"Same day",NA,NA,"No","Steven Dirksen","m",50583,NA,47445,"CI-3","No"
47,"Paid on time","Clear","CE-214",NA,"Same week",NA,NA,"No","Zane Salisbury","m",53011,NA,47310,"CI-3","No"
53,"Paid on time","Clear","CE-238",NA,"Same week",NA,NA,"No","Anna Hoffmeyer","f",75597,NA,53244,"CI-3","No"
52,"Past arrears","Clear","CE-241",NA,"Same day",NA,NA,"Yes","Sabrina Taylor","f",56569,NA,48982,"CI-3","No"
45,"Paid on time","Clear","CE-261",NA,"Same day",NA,NA,"Yes","Gage Lewis","m",46189,NA,53449,"CI-3","No"
32,"Paid on time","Clear","CE-301",NA,"Same month",NA,NA,"No","Krey Bartlett","m",48895,NA,51623,"CI-3","No"
